evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34
LOSFO,mcar,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0370823877869027,0.056069211409233,0.0207982751609589,0.2429390908775613,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0389242934101617,0.0622692470043639,0.0176622701893084,-5.41427041744147,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0387442653844486,0.0614792918900717,0.0201278893677589,-0.5522255226461381,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.0287608146359778,0.0412838011596925,0.0175872237125446,-0.5801761295227172,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
LOSFO,class_prevalence,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0674832523535558,0.0959525288170321,0.0437698164771898,-0.1643285874886786,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.064266091113588,0.1280211456389028,0.0143549123681147,-0.1929670200039808,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
LOSFO,location,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0411592762989307,0.0644942973367757,0.0272718593019481,-0.4786779869692732,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
LOSFO,mcar,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0460112076678973,0.0680997005185445,0.0255182767211431,-0.1167920920275884,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0336514281541972,0.056045015031181,0.0174571004417871,-4.196058323629885,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0375278689364214,0.0571779205732713,0.0235363143651498,-0.3426221903002078,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0335886410886438,0.0492858948982702,0.0212538867399393,-1.252119520171885,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
LOSFO,class_prevalence,Ridge,P0,600,"{""alpha"": 1000.0}",0.0652541130237772,0.0921088790765945,0.0399775738875605,-0.072915958612395,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,Ridge,P0,600,"{""alpha"": 10000.0}",0.066090912222475,0.128886248170074,0.0139752754982176,-0.2091444379304523,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
LOSFO,location,Ridge,P0,600,"{""alpha"": 10000.0}",0.0341202328668601,0.0549002009009159,0.0201502618340717,-0.0714671091003913,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
LOSFO,mcar,Ridge,P0,600,"{""alpha"": 10000.0}",0.042793258781428,0.067876390276089,0.0223735707430155,-0.1094798068491882,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,Ridge,P0,600,"{""alpha"": 1000.0}",0.0322850735164834,0.0385892043979238,0.0291907061374914,-1.463381563196323,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,Ridge,P0,600,"{""alpha"": 10000.0}",0.0324790121573964,0.0528967547179867,0.0171632711293543,-0.1490929585059328,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,Ridge,P0,600,"{""alpha"": 10000.0}",0.0322013088473255,0.0442284852395257,0.024490346319773,-0.813636606604764,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
LOSFO,class_prevalence,Ridge,P3,600,"{""alpha"": 10000.0}",0.0648082792338856,0.0924330467120511,0.0377615021139096,-0.0804812805222627,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,Ridge,P3,600,"{""alpha"": 10000.0}",0.0664999475360271,0.1294680065253796,0.0143348643959603,-0.2200845876755572,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
