dataset,heldout_outer_fold,feature_block,n_train,n_test,grouping,selected_params,mae,rmse,median_absolute_error,r2
glass,3,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.04870749562367663,0.05547608742987754,0.04880980649533846,-0.09680488878388438
glass,4,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.039816414080518066,0.054579802824625066,0.027957682328739464,-0.48431486774778687
glass,0,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.025468942844388186,0.03149335680800355,0.021702137500182184,0.1504996821808544
glass,1,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.022643231896291045,0.029841921939032758,0.02125266368510831,0.11827017273691398
glass,2,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.03299967610004472,0.047127264006657864,0.028446443470460235,-0.01608775821567887
glass,3,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.04379488978238093,0.05388649047557771,0.038158363055255384,-0.034850298308835015
glass,4,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.03459698364850501,0.04282955608163042,0.026807527748741712,0.0859935532904198
glass,0,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.02676716761758389,0.03359299628931957,0.024936622562479322,0.03345267675992181
glass,1,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.02737274203333318,0.034381024371730524,0.02251431693147958,-0.17036028716622176
glass,2,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.03154963343714459,0.04783186996949145,0.019253163268192243,-0.046698215937959864
