evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34,sensitivity,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared
LOSFO,measurement_noise,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0389242934101617,0.0622692470043639,0.0176622701893084,-5.41427041744147,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.0057072284361621,0.0052728652559645,S0_all_original_rows,,,,
LOSFO,outliers,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0387442653844486,0.0614792918900717,0.0201278893677589,-0.5522255226461381,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.001063103177554,0.0012163964480272,S0_all_original_rows,,,,
LOSFO,scale,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.0287608146359778,0.0412838011596925,0.0175872237125446,-0.5801761295227172,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417,-0.004827826452666,S0_all_original_rows,,,,
LOSFO,class_prevalence,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0674832523535558,0.0959525288170321,0.0437698164771898,-0.1643285874886786,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517,-0.0061456508642962,S0_all_original_rows,,,,
LOSFO,local_overlap,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.064266091113588,0.1280211456389028,0.0143549123681147,-0.1929670200039808,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769,0.0002871504433129,S0_all_original_rows,,,,
LOSFO,location,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0411592762989307,0.0644942973367757,0.0272718593019481,-0.4786779869692732,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238,-0.0074674008560993,S0_all_original_rows,,,,
LOSFO,mcar,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0460112076678973,0.0680997005185445,0.0255182767211431,-0.1167920920275884,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939,-0.0089288198809946,S0_all_original_rows,,,,
LOSFO,measurement_noise,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0336514281541972,0.056045015031181,0.0174571004417871,-4.196058323629885,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.0057072284361621,0.0052728652559645,S0_all_original_rows,,,,
LOSFO,outliers,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0375278689364214,0.0571779205732713,0.0235363143651498,-0.3426221903002078,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.001063103177554,0.0012163964480272,S0_all_original_rows,,,,
LOSFO,scale,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0335886410886438,0.0492858948982702,0.0212538867399393,-1.252119520171885,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417,-0.004827826452666,S0_all_original_rows,,,,
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.09057386114003943,0.14663518526782837,0.04642125231006426,-0.17746439656537794,,,,,,S1_source_converged,31.7008513990138,7.525657145485623,24.81335685233106,8.150560022424632
LODO,glass,HGBR,P0,294,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.04168907257495862,0.054469315164616804,0.03568431588723761,-0.8031353461153701,,,,,,S1_source_converged,12.256587337037836,0.8722704505836922,-0.2886298318699335,0.4840354246545398
