grouping_level,n_rows,source_converged_count,source_convergence_rate,candidate_converged_count,candidate_convergence_rate,both_converged_count,both_convergence_rate,usable_count,usable_nonconverged_count,dataset_id,outer_fold,condition,severity,seed
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,local_overlap_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,local_overlap_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,location_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,location_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,mcar_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,mcar_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,measurement_noise_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,measurement_noise_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,outliers_mild,,
dataset_condition,25,23,0.92,23,0.92,21,0.84,25,4,mice_protein_expression,,outliers_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,scale_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,mice_protein_expression,,scale_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,class_prevalence_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,pendigits,,class_prevalence_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,clean,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,local_overlap_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,local_overlap_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,location_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,location_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,mcar_mild,,
dataset_condition,25,23,0.92,17,0.68,15,0.6,25,10,pendigits,,mcar_severe,,
dataset_condition,25,23,0.92,23,0.92,21,0.84,25,4,pendigits,,measurement_noise_mild,,
dataset_condition,25,23,0.92,22,0.88,20,0.8,25,5,pendigits,,measurement_noise_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,outliers_mild,,
dataset_condition,25,23,0.92,10,0.4,10,0.4,25,15,pendigits,,outliers_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,scale_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,pendigits,,scale_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,class_prevalence_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,class_prevalence_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,clean,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,local_overlap_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,local_overlap_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,location_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,location_severe,,
dataset_condition,25,25,1.0,24,0.96,24,0.96,25,1,satimage,,mcar_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,mcar_severe,,
dataset_condition,25,25,1.0,22,0.88,22,0.88,25,3,satimage,,measurement_noise_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,measurement_noise_severe,,
