evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,replication_arm
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",34.18429722919875,7.482176343361655,24.79551718695425,7.546388230070681,0.09766942065485357,0.1462109663989641,0.059738290756130644,-0.29231059506606494,fully_corrected_600
LODO,glass,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",22.62285321377774,2.3698636273935527,-2.1507952148775282,0.6455073899146908,0.0646367234679364,0.08228632289396672,0.047879660603680166,-2.7480615624321105,fully_corrected_600
LODO,human_activity_recognition,HGBR,P3,349,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.195015822913247,0.27282507824583413,2.4108697516040163,0.22372230913297403,0.020616091183132512,0.02795950193682639,0.015245447095348813,-0.31756161370528146,fully_corrected_600
LODO,iris,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",36.1605220446063,6.659601816248257,5.0524634655900345,7.096598107036339,0.10331577727030372,0.13793996433488484,0.07290574946095725,0.0518334826012975,fully_corrected_600
LODO,letter_recognition,HGBR,P3,296,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.131507431097637,0.2662512590070247,3.440029388405006,0.1424060653959364,0.024092930510464988,0.02999162377473673,0.02002236491287033,-1.5994244562861697,fully_corrected_600
LODO,madelon,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",44.37525675542064,5.939841007097492,1.180246735970682,0.02543812325876131,0.12678644787263038,0.1302726920962058,0.13976264185108134,-275.8101843051383,fully_corrected_600
LODO,mice_protein_expression,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",5.994056141373161,0.19491853748763363,1.4730447006798033,0.20220494714804643,0.017125874689637603,0.023598942923519363,0.012790415359537146,0.005544785972210087,fully_corrected_600
LODO,pendigits,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",18.15986104227928,1.9247616959064915,8.03474265761787,2.1078684154484226,0.05188531726365509,0.07415739431210758,0.030670175928421403,-0.0006977717296190455,fully_corrected_600
LODO,satimage,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",19.614395202487557,1.8117646412745303,12.417447334371666,1.30536511783394,0.05604112914996445,0.07194769213561694,0.04740895919177551,-1.0949768182500517,fully_corrected_600
LODO,sonar,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",14.417847279638908,1.1714980891710063,-3.0232963202821077,0.6857004758673672,0.04119384937039688,0.0578544501108726,0.03412510840247025,-0.7761131657758544,fully_corrected_600
